Title,Artist,Nationality,Gender,Year,Medium,Classification
"Gifts for ""J.""",Paul Klee,(German),(Male),1970,"Oil, ink, and gesso on canvas mounted on wood",Painting
Still Life with Old Shoe,Joan Mir_,(Spanish),(Male),1970,Oil on canvas,Painting
Open Number 24 in Variations of Orange,Robert Motherwell,(American),(Male),1970,Synthetic polymer paint and charcoal on canvas,Painting
Desert,Richard Pousette-Dart,(American),(Male),1970,Oil on canvas,Painting
Fugue Number 2,Richard Pousette-Dart,(American),(Male),1970,Oil and sand on canvas,Painting
"Number 43 (Abstract Painting, Yellow)",Ad Reinhardt,(American),(Male),1970,Oil on canvas,Painting
Number 22,Ad Reinhardt,(American),(Male),1970,Oil on canvas,Painting
Number 111,Ad Reinhardt,(American),(Male),1970,Oil on canvas,Painting
No. 5/No. 24,Mark Rothko,(American),(Male),1970,Oil on canvas,Painting
No. 1 (Untitled),Mark Rothko,(American),(Male),1970,Oil on canvas,Painting
No. 5/No.  22,Mark Rothko,(American),(Male),1970,Oil on canvas,Painting
Anitou,Leon Polk Smith,(American),(Male),1970,Oil on canvas,Painting
The Wild,Barnett Newman,(American),(Male),1970,Oil on canvas,Painting
Untitled,Barry Flanagan,(British),(Male),1970,"Fiberglass and burlap, two parts",Sculpture
Sculpture: Orange-Blue,Peter Alexander,(American),(Male),1970,Cast polyester resin,Sculpture
Sculpture No. 17,Fausto Melotti,(Italian),(Male),1970,Coated steel,Sculpture
Corner 806,Jean Pierre Raynaud,(French),(Male),1970,"Fiberglass, steel, and enamel, in two sections",Sculpture
Placing Platforms,Stig Br_gger,(Danish),(Male),1970,"Painted wood benches, photograph panels, and text panel",Sculpture
Temporary Volume - Package - For Minneapolis School of Art,Christo,(American),(Male),1970,"Stuffed plastic sheet wrapped with twine, plastic figure, and paint and pencil on composition board on wood base",Sculpture
Rotary Demisphere (Precision Optics),Marcel Duchamp,(American),(Male),1970,"Painted papier-mÌ¢chÌ© demisphere fitted on velvet-covered disk, copper collar with plexiglass dome, motor, pulley, and metal stand",Sculpture
Valetudinarian,Arman,(American),(Male),1970,Pill bottles in a painted wood box with glass top,Sculpture
Boom! Boom!,Arman,(American),(Male),1970,Plastic water pistols in plexiglass case,Sculpture
The Sled,Joseph Beuys,(German),(Male),1970,"Sled of wood and metal with felt, cloth straps, flashlight, wax, and cord",Sculpture
CHILD,Bruce Conner,(American),(Male),1970,"Wax, nylon, cloth, metal, twine, and high chair",Sculpture
Segments,Menashe Kadishman,(Israeli),(Male),1970,"Painted aluminum on glass sheet, in five sections",Sculpture
Art and Culture,John Latham,(British),(Male),1970,"Leather case containing book, letters, photostats, and labeled vials filled with soot and burned paper",Sculpture
Litanies,Robert Morris,(American),(Male),1970,"Lead over wood with steel key ring, keys, and brass lock",Sculpture
Magnified and Reduced Inches,Robert Morris,(American),(Male),1970,Stamped and incised lead over wood painted with metallic powder in synthetic polymer,Sculpture
Untitled,Robert Morris,(American),(Male),1970,"Glass case on wood base painted with metallic powder in synthetic polymer containing cracked glass case on painted wood base, stamped lead, mirror, and two metal rulers",Sculpture
Untitled,Robert Morris,(American),(Male),1970,Molded sheet lead over wood with painted wood pieces and steel wire,Sculpture
Untitled,Robert Morris,(American),(Male),1970,"Knotted rope on tin box covered with encaustic, on wood base painted with metallic powder in synthetic polymer",Sculpture
Untitled,Robert Morris,(American),(Male),1970,Lead over wood panel painted with metallic powder in synthetic polymer,Sculpture
Book 4,Lucas Samaras,(American),(Male),1970,"Book with pins, table knife, scissors, razor blade, metal foil, piece of glass and plastic rod",Sculpture
Untitled,Keith Sonnier,(American),(Male),1970,Satin over foam rubber on wood with felt,Sculpture
Madonna of the Rocks,Aleksandr Archipenko,(American),(Male),1970,Painted plaster,Sculpture
Statue on a Triangular Base,Aleksandr Archipenko,(American),(Male),1970,Bronze,Sculpture
"Quarantania, I",Louise Bourgeois,(American),(Female),1970,Painted wood on wood base,Sculpture
The Bow,Herbert Ferber,(American),(Male),1970,Bronze,Sculpture
"Roof Sculpture with S Curve, II",Herbert Ferber,(American),(Male),1970,Bronze,Sculpture
"Tall Figure, III",Alberto Giacometti,(Swiss),(Male),1970,Bronze,Sculpture
Figure Waiting in Cold,David Hare,(American),(Male),1970,Bronze and iron on stone base,Sculpture
"Sunset, II",David Hare,(American),(Male),1970,Bronze and steel,Sculpture
Study for Tower with Figures,Jean Dubuffet,(French),(Male),1970,Cast polyester resin and synthetic polymer paint,Sculpture
Australia,David Smith,(American),(Male),1970,Painted steel on cinder-block base,Sculpture
"Les Terrasses, Villa Stein-de-Monzie, Garches, France","Le Corbusier (Charles-_douard Jeanneret), Pierre Jeanneret",(French) (Swiss),(Male) (Male),1970,"Acrylic, wood, metal and paint",Architecture
"New National Gallery, Berlin, Germany (Mock-up of one column, four bays, and corresponding roof section)",Ludwig Mies van der Rohe,(American),(Male),1970,"Wood, Plexiglass, and masonite",Architecture
Wall Clock,Nathan George Horwitt,(American),(Male),1970,Metal lacquered case and glass front,Design
Wall Clock,Nathan George Horwitt,(American),(Male),1970,Metal lacquered case and glass front,Design
Tract House #1,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #2,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #3,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #4,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #5,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #6,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #7,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #8,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #9,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #10,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #11,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #12,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #13,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #14,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #15,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #16,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #17,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #18,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #19,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #20,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #21,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #22,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #23,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #24,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Tract House #25,Lewis Baltz,(American),(Male),1970,Gelatin silver print,Photograph
Sacco Chair,"Piero Gatti, Cesare Paolini, Franco Teodoro",(Italian) (Italian) (Italian),(Male) (Male) (Male),1970,Leather and polystyrene beads,Design
Woven Fabric Sample,Anni Albers,(American),(Female),1970,Linen and metallic thread,Design
Lazybones,Frank Borzage,(American),(Male),1970,"35mm film (black and white, silent)",Film
At Land,Maya Deren,(American),(Female),1970,"16mm film (black and white, sound)",Film
A Study in Choreography for Camera,Maya Deren,(American),(Female),1970,"16mm film (black and white, silent)",Film
Le MÌ©pris (Contempt),Jean-Luc Godard,(French),(Male),1970,"35mm film (color, sound)",Film
Porch Glider,James Herbert,(American),(Male),1970,"16mm film (color, silent)",Film
All About Eve,Joseph L. Mankiewicz,(American),(Male),1970,"35mm film (black and white, sound)",Film
Entuziazm (Enthusiasm),Dziga Vertov,(Russian),(Male),1970,"35mm film (black and white, sound)",Film
The Big Sky,Howard Hawks,(American),(Male),1970,"35mm film (black and white, sound)",Film
Manhole: 592-24,Joseph Dankowski,(American),(Male),1970,Gelatin silver print,Photograph
Manhole: 611-13A,Joseph Dankowski,(American),(Male),1970,Gelatin silver print,Photograph
Manhole: 573-19A,Joseph Dankowski,(American),(Male),1970,Gelatin silver print,Photograph
Manhole: 604-2,Joseph Dankowski,(American),(Male),1970,Gelatin silver print,Photograph
Manhole: 583-4A,Joseph Dankowski,(American),(Male),1970,Gelatin silver print,Photograph
Manhole: 594-23,Joseph Dankowski,(American),(Male),1970,Gelatin silver print,Photograph
Manhole: 592-33,Joseph Dankowski,(American),(Male),1970,Gelatin silver print,Photograph
Manhole: 575-18,Joseph Dankowski,(American),(Male),1970,Gelatin silver print,Photograph
Manhole: 592-19,Joseph Dankowski,(American),(Male),1970,Gelatin silver print,Photograph
Manhole: 650-7,Joseph Dankowski,(American),(Male),1970,Gelatin silver print,Photograph
Manhole: 652-20,Joseph Dankowski,(American),(Male),1970,Gelatin silver print,Photograph
Manhole: 653-27A,Joseph Dankowski,(American),(Male),1970,Gelatin silver print,Photograph
Manhole: 653-20A,Joseph Dankowski,(American),(Male),1970,Gelatin silver print,Photograph
Manhole: 652-15,Joseph Dankowski,(American),(Male),1970,Gelatin silver print,Photograph
Manhole: 655-30,Joseph Dankowski,(American),(Male),1970,Gelatin silver print,Photograph
Manhole: 653-36,Joseph Dankowski,(American),(Male),1970,Gelatin silver print,Photograph
Manhole: 652-21,Joseph Dankowski,(American),(Male),1970,Gelatin silver print,Photograph
Manhole: 652-11,Joseph Dankowski,(American),(Male),1970,Gelatin silver print,Photograph
Manhole: 614-10,Joseph Dankowski,(American),(Male),1970,Gelatin silver print,Photograph
Manhole: 611-20A,Joseph Dankowski,(American),(Male),1970,Gelatin silver print,Photograph
The Cloud,Alvin Langdon Coburn,(American),(Male),1970,Platinum print,Photograph
The Cloud,Alvin Langdon Coburn,(American),(Male),1970,Platinum print,Photograph
The Cloud,Alvin Langdon Coburn,(American),(Male),1970,Platinum print,Photograph
The Cloud,Alvin Langdon Coburn,(American),(Male),1970,Platinum print,Photograph
The Cloud,Alvin Langdon Coburn,(American),(Male),1970,Platinum print,Photograph
The Cloud,Alvin Langdon Coburn,(American),(Male),1970,Platinum print,Photograph
A Sunset at Thebes,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
The Colossi of the Plain,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
"Exterior of the Small Temple, Medinet Haboo",Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
Gateway of the Small Temple,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
Interior of the Small Temple,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
The King's Palace,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
Second Pylon of the Great Temple,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
Osiride Columns in the First Court of the Great Temple,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
Second or Grand Court of the Great Temple,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
Northern Corridor of the Grand Court,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
East End of the Northern Corridor of the Grand Court,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
Remains of the Hypostyle Hall,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
Side Chamber from the Hypostyle Hall,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
General View of the Temple from the North,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
The Temple from the South,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
South-east Colonnade of the SEcond Court and the Fallen Colossus,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
View of North-west End of the Inner Court,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
"The Great Hall, Memnonium",Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
The Temple from the North,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
Tombs of Sheykh Abd-El-Koorneh,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
"The Facade, Goorneh Temple",Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
Interior View of the Tmeple of Goorneh,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
Luxor from the River,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
The Grand Colonnade,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
Grand Court,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
Obelisk and Pylon,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
"The Modern Village, Near Karnak",Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
Gateway of Ptolemy Euergetes,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
"Interior of the Small Temple, Karnak",Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
"First Area of the Great Temple, Karnak",Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
Northern Corridor of the Grand Area,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
"The Grand Hall, Karnak",Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
Smaller Court with the Obelisk of Thothmes,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
The Sancuary,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
The Sanctuary and Grand Hall form the South-East,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
"A Pylon, with Colossi",Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
Edifice of Throthmes III,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
Small Temple to the East,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
Karnak form the South-East,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
View of the Great Temple from the North-West,Captain William de Wiveleslie Abney,(British),(Male),1970,woodburytype,Photograph
Radio (model TS 502),"Marco Zanuso, Richard Sapper",(Italian) (German),(Male) (Male),1970,ABS plastic and aluminum,Design
Radio (model TS 502),"Marco Zanuso, Richard Sapper",(Italian) (German),(Male) (Male),1970,ABS plastic and aluminum,Design
"Title page from The History, all derer von Sonntag bis Mittwoch und zur_ck",Robert Michel,(German),(Male),1970,One from a portfolio of five etchings,Print
"Sunday (Sonntag) from The History, all derer von Sonntag bis Mittwoch und zur_ck",Robert Michel,(German),(Male),1970,One from a portfolio of five etchings,Print
"Monday (Montag) from The History, all derer von Sonntag bis Mittwoch und zur_ck",Robert Michel,(German),(Male),1970,One from a portfolio of five etchings,Print
"Tuesday (Dienstag) from The History, all derer von Sonntag bis Mittwoch und zur_ck",Robert Michel,(German),(Male),1970,One from a portfolio of five etchings,Print
"Wednesday and Back (Mittwoch und zur_ck) from The History, all derer von Sonntag bis Mittwoch und zur_ck",Robert Michel,(German),(Male),1970,One from a portfolio of five etchings,Print
Yale Trial Plate (Yale-Versuchsplatte) from The Mystery und dieses R_tsels L_sung,Robert Michel,(German),(Male),1970,One from a portfolio of five etchings,Print
Yale Horizontal Plate (Yale-Horizontalplatte) from The Mystery und dieses R_tsels L_sung,Robert Michel,(German),(Male),1970,One from a portfolio of five etchings,Print
Yale Vertical Plate (Yale-Vertikalplatte) from The Mystery und dieses R_tsels L_sung,Robert Michel,(German),(Male),1970,One from a portfolio of five etchings,Print
Yale Vertical Plate (Yale-Vertikalplatte) from The Mystery und dieses R_tsels L_sung,Robert Michel,(German),(Male),1970,One from a portfolio of five etchings,Print
Yale Vertical Plate (Yale-Vertikalplatte) from The Mystery und dieses R_tsels L_sung,Robert Michel,(German),(Male),1970,One from a portfolio of five etchings,Print
Collating chart accompanying General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Collating chart accompanying the portfolio of thirty-four photolithographs and sixteen screenprints,Print
Jesus Colour by Numbers from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Synthetic Sirens in the Pink Light District from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
New Semester Reward of the Oppressed from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Llalla Pallooza . . . Image Fades but Memory Lingers On from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Screenprint from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Early Mental Traits of 300 Geniuses from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Inside Down Under . . . What Are the Building Blocks of Structuralism from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
An Empire of Silly Statistics . . . A Fake War for Public Relations from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Totems and Taboos of the Nine-to-Five Day from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Will Man Desert the Dog for the Dolophin from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Why Children Commit Suicide . . . Read Next Month's Issue from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Decency and Decorum in Production from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
The ABC of Z from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Calling Radio Free America from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Almost Any Suburb from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Ready to Sparkle Fashions from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Transparent Creatures Hunting New Victims from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Astute Sizing up Perfume Trends from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Frank Lloyd Wright Says . . . Tough Times from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Cary Grant as a Male War Bride from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Sex Crime Wave Rolling High from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Screenprint from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
"Part One, Frozen Terror . . . Part Two, Fangs of Death from General Dynamic F.U.N.",Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Similar Remarks Apply to Uranium 235 from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Mumbling and Munching to Muzak from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Comparative Research in Inexperienced Types from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Cucumber Night Cream from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Animals as Aliens from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Temporary Variations in Experienced Type from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Hermaphroditic Children from Transvestite Parents from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Fifty Nine Varieties of Paradise from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
6 Miles Over Vacation-Land from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Becoming Is Meaning Like Nothing Is Going from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
"Pig or Person, It's the Same, Fortune Plays a Funny Game from General Dynamic F.U.N.",Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Plate Interpreted as a Whole (Whole Answer) from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
How to Spend Time in Hollywood from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Careers Today . . . How Children Fail from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Screenprint from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Brainiac 5 no puede ganar contra tres maquinas from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Screenprint from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
No Heroes Developed from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Screenprint from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
The Puzzle of Female Pleasure from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Screenprint from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Notes on the Organization of Paradise from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Screenprint from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
More Power to Everybody from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Screenprint from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
The Ritual Mainspring of the Area's Culture from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Screenprint from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Fortunes Guide to Government Contracts from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Screenprint from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
"A Single Series, Consisting of Twenty Choices from General Dynamic F.U.N.",Eduardo Paolozzi,(British),(Male),1970,Screenprint from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
"The Accident Syndrome, the Genesis of Injury from General Dynamic F.U.N.",Eduardo Paolozzi,(British),(Male),1970,Screenprint from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
"Smash Hit, Good Loving, Plus Like a Rolling Stone, Slow Down, Etc. from General Dynamic F.U.N.",Eduardo Paolozzi,(British),(Male),1970,Screenprint from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Twenty Traumatic Twinges from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Screenprint from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Studies in Human Salvage from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Screenprint from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Watch Out for Miracles . . . New Hope for Better Babies from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(Male),1970,Screenprint from a portfolio of thirty-four photolithographs and sixteen screenprints,Print
Monsieur Verdoux,Charlie Chaplin,(British),(Male),1970,"35mm film (black and white, sound)",Film
Seated Woman Seen up to the Waist (Femme assise vue ÌÊ mi-corps),Aristide Maillol,(French),(Male),1970,Lithograph,Print
Fabric Sample,Anni Albers,(American),(Female),1970,Harness maker's thread,Design
Fabric Sample,Anni Albers,(American),(Female),1970,Harness maker's thread,Design
Fabric Sample,Anni Albers,(American),(Female),1970,Harness maker's thread,Design
Fabric Sample,Anni Albers,(American),(Female),1970,Harness maker's thread,Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Assorted Woven Fabric Samples,Anni Albers,(American),(Female),1970,"Nylon, wool, and cotton",Design
Composite Series,Sol LeWitt,(American),(Male),1970,One from a series of five screenprints,Print
Composite Series,Sol LeWitt,(American),(Male),1970,One from a series of five screenprints,Print
Composite Series,Sol LeWitt,(American),(Male),1970,One from a series of five screenprints,Print
Composite Series,Sol LeWitt,(American),(Male),1970,One from a series of five screenprints,Print
Composite Series,Sol LeWitt,(American),(Male),1970,One from a series of five screenprints,Print
